Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.14;89.59;0.63;23437.94;9.47;0.08;0.02;0.02;0.03;7.4;0;0.02;
knl01;_ALL;_ALL;0.14;89.59;0.63;23437.94;9.47;0.08;0.02;0.02;0.03;7.4;0;0.02;
knl01;43129;_ALL;0.12;89.79;0.51;5876.02;9.34;0.1;0.03;0.02;0.05;7.4;0;0.03;
knl01;43129;44157;0.07;91.07;0;1467;8.86;0;0;0;0;7.34;0;0;
knl01;43129;44162;0.14;88.79;0;1463;11.07;0;0;0;0;7.32;0;0;
knl01;43129;44166;0.07;91.96;0;1467;7.98;0;0;0;0;7.34;0;0;
knl01;43129;43129;0.2;87.36;2.03;1479.01;9.47;0.41;0.14;0.07;0.2;7.4;0;0.14;
knl01;43128;_ALL;0.09;90.03;0.56;5864.95;9.22;0.07;0.02;0.02;0;7.39;0;0;
knl01;43128;44165;0.07;92.61;0;1460.99;7.32;0;0;0;0;7.3;0;0;
knl01;43128;44158;0;90.84;0;1462.99;9.16;0;0;0;0;7.31;0;0;
knl01;43128;44160;0.07;89.88;0;1461.99;10.05;0;0;0;0;7.31;0;0;
knl01;43128;43128;0.2;86.82;2.23;1478.99;10.34;0.27;0.07;0.07;0;7.39;0;0;
knl01;43130;_ALL;0.15;89.51;0.77;5841.98;9.4;0.09;0.02;0;0.07;7.38;0;0;
knl01;43130;44163;0.07;89.15;0;1455.99;10.78;0;0;0;0;7.28;0;0;
knl01;43130;43130;0.47;86.46;3.05;1477;9.34;0.34;0.07;0;0.27;7.38;0;0;
knl01;43130;44167;0;91.62;0;1454.99;8.38;0;0;0;0;7.27;0;0;
knl01;43130;44159;0.07;90.85;0;1454;9.08;0;0;0;0;7.27;0;0;
knl01;43131;_ALL;0.2;89.05;0.67;5854.99;9.92;0.05;0;0.05;0.02;7.37;0;0.03;
knl01;43131;44161;0;88.46;0;1464;11.54;0;0;0;0;7.32;0;0;
knl01;43131;44156;0.07;89.57;0;1457;10.36;0;0;0;0;7.28;0;0;
knl01;43131;44164;0.27;91.64;0;1460;8.08;0;0;0;0;7.3;0;0;
knl01;43131;43131;0.47;86.57;2.65;1474;9.7;0.2;0;0.2;0.07;7.37;0;0.14;
