function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
34;bt-mz.A.x;binvcrhs;solve_subs.f90:206-481;25.72;3.13;3.21;3.24;3.29;0.26986300945282;4;"100,0,0,0,0,0,0,0,0,0";
23;bt-mz.A.x;y_solve_._omp_fn.0;y_solve.f90:44-397;13.48;1.64;1.49;1.7;1.79;1.1592897176743;4;"100,0,0,0,0,0,0,0,0,0";
21;bt-mz.A.x;x_solve_._omp_fn.0;x_solve.f90:47-398;12.76;1.55;1.46;1.61;1.81;1.3526796102524;4;"100,0,0,0,0,0,0,0,0,0";
36;bt-mz.A.x;z_solve_._omp_fn.0;z_solve.f90:44-420;12.37;1.51;1.48;1.56;1.61;0.48535653948784;4;"100,0,0,0,0,0,0,0,0,0";
33;bt-mz.A.x;matmul_sub;solve_subs.f90:56-199;12.09;1.47;1.47;1.52;1.56;0.36220875382423;4;"100,0,0,0,0,0,0,0,0,0";
17;bt-mz.A.x;compute_rhs_._omp_fn.0;rhs.f90:30-404;10.36;1.26;1.17;1.31;1.37;0.77559787034988;4;"100,0,0,0,0,0,0,0,0,0";
32;bt-mz.A.x;matvec_sub;solve_subs.f90:27-51;4.02;0.49;0.47;0.51;0.57;0.34676083922386;4;"100,0,0,0,0,0,0,0,0,0";
1063;libc-2.31.so;__poll;;3.37;0.41;0.03;2.78;8.23;0;3;"0,0,0,0,0,0,100,0,0,0";
65;mca_btl_vader.so;mca_btl_vader_component_progress;;1.94;0.24;0.06;0.24;0.39;1.3682281970978;4;"0,100,0,0,0,0,0,0,0,0";
11;bt-mz.A.x;lhsinit;initialize.f90:214-248;0.87;0.11;0.09;0.11;0.13;0.14354936778545;4;"100,0,0,0,0,0,0,0,0,0";
35;bt-mz.A.x;binvrhs;solve_subs.f90:508-639;0.62;0.08;0.07;0.08;0.09;0.11008398234844;4;"100,0,0,0,0,0,0,0,0,0";
907;libopen-pal.so.40.10.1;opal_progress;;0.48;0.06;0.01;0.06;0.09;0.28387540578842;4;"0,100,0,0,0,0,0,0,0,0";
70;mca_coll_libnbc.so;ompi_coll_libnbc_progress;;0.27;0.03;0.02;0.03;0.06;0.1463316231966;4;"0,100,0,0,0,0,0,0,0,0";
38;bt-mz.A.x;add_._omp_fn.0;add.f90:24-29;0.25;0.03;0.02;0.03;0.05;0.086096443235874;4;"100,0,0,0,0,0,0,0,0,0";
12;bt-mz.A.x;exact_solution;exact_solution.f90:24-28;0.18;0.02;0.02;0.02;0.03;0.053989645093679;4;"100,0,0,0,0,0,0,0,0,0";
2535;libopen-pal.so.40.10.1;opal_timer_linux_get_cycles_sys_timer;;0.17;0.02;0.01;0.02;0.04;0.11522232741117;4;"0,100,0,0,0,0,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;0.12;0.01;0.01;0.02;0.02;0.034106180071831;4;"0,0,0,0,100,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.1;0.01;0.01;0.01;0.02;0.053980436176062;4;"0,0,0,0,100,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.08;0.01;0.01;0.01;0.02;0.0241369754076;3;"0,0,100,0,0,0,0,0,0,0";
28;bt-mz.A.x;copy_x_face_._omp_fn.1;exch_qbc.f90:257-261;0.08;0.01;0.01;0.01;0.02;0.034113120287657;4;"100,0,0,0,0,0,0,0,0,0";
