block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1566;bt-mz.A.x;solve_subs.f90:206-481;18.49;2;;;;;;
1564;bt-mz.A.x;solve_subs.f90:56-199;9.34;1.01;;;;;;
1302;bt-mz.A.x;y_solve.f90:144-307;6.27;0.68;;;;;;
1586;bt-mz.A.x;z_solve.f90:145-308;4.34;0.47;;;;;;
1244;bt-mz.A.x;x_solve.f90:145-308;4.25;0.46;;;;;;
1562;bt-mz.A.x;solve_subs.f90:27-51;3.07;0.33;;;;;;
1296;bt-mz.A.x;y_solve.f90:54-136;2.08;0.22;;;;;;
1240;bt-mz.A.x;x_solve.f90:56-138;1.93;0.21;;;;;;
1581;bt-mz.A.x;z_solve.f90:54-136;1.84;0.2;;;;;;
737;bt-mz.A.x;rhs.f90:185-229;1.51;0.16;;;;;;
768;bt-mz.A.x;rhs.f90:295-340;1.13;0.12;;;;;;
717;bt-mz.A.x;rhs.f90:80-129;1.13;0.12;;;;;;
1304;bt-mz.A.x;y_solve.f90:247-247;1.08;0.12;;;;;;
1267;bt-mz.A.x;x_solve.f90:394-398;1.04;0.11;;;;;;
1326;bt-mz.A.x;y_solve.f90:393-397;0.99;0.11;;;;;;
1246;bt-mz.A.x;x_solve.f90:248-248;0.9;0.1;;;;;;
1588;bt-mz.A.x;z_solve.f90:248-248;0.85;0.09;;;;;;
780;bt-mz.A.x;rhs.f90:383-388;0.66;0.07;;;;;;
677;bt-mz.A.x;rhs.f90:37-47;0.66;0.07;;;;;;
458;bt-mz.A.x;initialize.f90:214-248;0.47;0.05;;;;;;
720;bt-mz.A.x;rhs.f90:149-154;0.47;0.05;;;;;;
1567;bt-mz.A.x;solve_subs.f90:508-639;0.42;0.05;;;;;;
1636;bt-mz.A.x;z_solve.f90:418-420;0.42;0.05;;;;;;
749;bt-mz.A.x;rhs.f90:272-277;0.38;0.04;;;;;;
1681;bt-mz.A.x;add.f90:29-29;0.33;0.04;;;;;;
1243;bt-mz.A.x;x_solve.f90:147-248;0.28;0.03;;;;;;
796;bt-mz.A.x;rhs.f90:402-404;0.24;0.03;;;;;;
848;bt-mz.A.x;rhs.f90:64-64;0.24;0.03;;;;;;
1637;bt-mz.A.x;z_solve.f90:414-420;0.19;0.02;;;;;;
1585;bt-mz.A.x;z_solve.f90:147-248;0.14;0.02;;;;;;
807;bt-mz.A.x;rhs.f90:374-378;0.14;0.02;;;;;;
767;bt-mz.A.x;rhs.f90:296-340;0.09;0.01;;;;;;
676;bt-mz.A.x;rhs.f90:38-47;0.09;0.01;;;;;;
1394;bt-mz.A.x;exch_qbc.f90:250-250;0.09;0.01;;;;;;
1633;bt-mz.A.x;z_solve.f90:420-420;0.09;0.01;;;;;;
1257;bt-mz.A.x;x_solve.f90:363-363;0.09;0.01;;;;;;
1420;bt-mz.A.x;exch_qbc.f90:261-261;0.09;0.01;;;;;;
798;bt-mz.A.x;rhs.f90:402-404;0.09;0.01;;;;;;
866;bt-mz.A.x;rhs.f90:365-369;0.09;0.01;;;;;;
736;bt-mz.A.x;rhs.f90:186-229;0.05;0.01;;;;;;
1631;bt-mz.A.x;z_solve.f90:414-414;0.05;0.01;;;;;;
748;bt-mz.A.x;rhs.f90:277-277;0.05;0.01;;;;;;
844;bt-mz.A.x;rhs.f90:64-64;0.05;0.01;;;;;;
1685;bt-mz.A.x;add.f90:29-29;0.05;0.01;;;;;;
1301;bt-mz.A.x;y_solve.f90:146-247;0.05;0.01;;;;;;
1618;bt-mz.A.x;z_solve.f90:366-366;0.05;0.01;;;;;;
715;bt-mz.A.x;rhs.f90:80-149;0.05;0.01;;;;;;
1255;bt-mz.A.x;x_solve.f90:347-347;0.05;0.01;;;;;;
718;bt-mz.A.x;rhs.f90:162-169;0.05;0.01;;;;;;
1415;bt-mz.A.x;exch_qbc.f90:261-261;0.05;0.01;;;;;;
722;bt-mz.A.x;rhs.f90:169-169;0.05;0.01;;;;;;
1308;bt-mz.A.x;y_solve.f90:344-344;0.05;0.01;;;;;;
1399;bt-mz.A.x;exch_qbc.f90:250-250;0.05;0.01;;;;;;
1378;bt-mz.A.x;exch_qbc.f90:222-222;0.05;0.01;;;;;;
306;bt-mz.A.x;initialize.f90:37-37;0.05;0.01;;;;;;
1259;bt-mz.A.x;x_solve.f90:354-354;0.05;0.01;;;;;;
1635;bt-mz.A.x;z_solve.f90:420-420;0.05;0.01;;;;;;
1318;bt-mz.A.x;y_solve.f90:359-359;0.05;0.01;;;;;;
849;bt-mz.A.x;rhs.f90:64-64;0.05;0.01;;;;;;
502;bt-mz.A.x;exact_rhs.f90:49-51;0.05;0.01;;;;;;
521;bt-mz.A.x;exact_rhs.f90:119-122;0.05;0.01;;;;;;
446;bt-mz.A.x;initialize.f90:56-84;0.05;0.01;;;;;;
1580;bt-mz.A.x;z_solve.f90:56-130;0.05;0.01;;;;;;
1593;bt-mz.A.x;z_solve.f90:313-313;0.05;0.01;;;;;;
1239;bt-mz.A.x;x_solve.f90:58-138;0.05;0.01;;;;;;
836;bt-mz.A.x;rhs.f90:356-360;0.05;0.01;;;;;;
810;bt-mz.A.x;rhs.f90:263-267;0.05;0.01;;;;;;
