function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
34;bt-mz.A.x;binvcrhs;solve_subs.f90:206-481;24.46;2.64;;;;;;"100,0,0,0,0,0,0,0,0,0";
23;bt-mz.A.x;y_solve_._omp_fn.0;y_solve.f90:44-397;15.36;1.66;;;;;;"100,0,0,0,0,0,0,0,0,0";
33;bt-mz.A.x;matmul_sub;solve_subs.f90:56-199;14.47;1.56;;;;;;"100,0,0,0,0,0,0,0,0,0";
21;bt-mz.A.x;x_solve_._omp_fn.0;x_solve.f90:47-398;13.95;1.51;;;;;;"100,0,0,0,0,0,0,0,0,0";
36;bt-mz.A.x;z_solve_._omp_fn.0;z_solve.f90:44-420;13.76;1.49;;;;;;"100,0,0,0,0,0,0,0,0,0";
17;bt-mz.A.x;compute_rhs_._omp_fn.0;rhs.f90:30-404;10.41;1.13;;;;;;"100,0,0,0,0,0,0,0,0,0";
32;bt-mz.A.x;matvec_sub;solve_subs.f90:27-51;4.19;0.45;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;bt-mz.A.x;lhsinit;initialize.f90:214-248;1.13;0.12;;;;;;"100,0,0,0,0,0,0,0,0,0";
35;bt-mz.A.x;binvrhs;solve_subs.f90:508-639;0.47;0.05;;;;;;"100,0,0,0,0,0,0,0,0,0";
38;bt-mz.A.x;add_._omp_fn.0;add.f90:24-29;0.38;0.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
65;mca_btl_vader.so;mca_btl_vader_component_progress;;0.24;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
12;bt-mz.A.x;exact_solution;exact_solution.f90:24-28;0.24;0.03;;;;;;"100,0,0,0,0,0,0,0,0,0";
191;libpthread-2.31.so;__pthread_cond_wait;;0.14;0.02;;;;;;"0,0,0,0,0,100,0,0,0,0";
1318;libc-2.31.so;process_vm_readv;;0.09;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.09;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.05;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
1365;libopen-pal.so.40.10.1;group_register;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
1352;libmpi.so.40.10.1;MPI_Type_f2c;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
1013;libc-2.31.so;__open;;0.05;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
1010;libc-2.31.so;mkdir;;0.05;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
994;libc-2.31.so;__xstat;;0.05;0.01;;;;;;"0,0,0,0,0,0,100,0,0,0";
920;libmpi.so.40.10.1;ompi_request_default_wait_all;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
907;libopen-pal.so.40.10.1;opal_progress;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
493;libmpi.so.40.10.1;opal_progress@plt;;0.05;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;0.05;0.01;;;;;;"0,0,100,0,0,0,0,0,0,0";
27;bt-mz.A.x;copy_x_face_._omp_fn.0;exch_qbc.f90:246-250;0.05;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
13;bt-mz.A.x;exact_rhs_._omp_fn.0;exact_rhs.f90:23-347;0.05;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.05;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
