loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
99;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:144-307;Innermost;7.35;0.79;0.61;0.79;1.12;1.6144679784775;6;
94;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:145-308;Innermost;6.86;0.74;0.56;0.74;1.03;1.5683413743973;6;
115;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:145-308;Innermost;6.16;0.67;0.56;0.67;0.83;0.93169003725052;6;
116;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:54-136;Innermost;2.68;0.29;0.2;0.29;0.4;0.62138283252716;6;
96;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:56-138;Innermost;2.55;0.28;0.21;0.28;0.32;0.41073933243752;6;
101;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:54-136;Innermost;2.41;0.26;0.2;0.26;0.34;0.58285254240036;6;
58;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:185-229;Innermost;1.46;0.16;0.12;0.16;0.19;0.23257571458817;6;
50;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:295-340;Innermost;1.44;0.16;0.11;0.16;0.24;0.48293522000313;6;
69;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:80-129;Innermost;1.4;0.15;0.12;0.15;0.19;0.23931278288364;6;
98;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:393-397;Innermost;1.12;0.12;0.11;0.12;0.14;0.12493105232716;6;
93;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:394-398;Innermost;0.99;0.11;0.09;0.11;0.12;0.13323450088501;6;
73;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:37-47;Innermost;0.79;0.09;0.07;0.09;0.11;0.14421348273754;6;
112;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:414-420;Innermost;0.79;0.08;0.07;0.08;0.11;0.12866650521755;6;
68;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:149-154;Innermost;0.57;0.06;0.04;0.06;0.08;0.16045108437538;6;
111;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:51-420;Outermost;0.55;0.06;0.03;0.06;0.15;0.41143810749054;6;
72;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:64-64;Innermost;0.53;0.06;0.03;0.06;0.08;0.18051673471928;6;
64;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:272-277;Innermost;0.52;0.06;0.04;0.06;0.09;0.16315214335918;6;
56;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:383-388;Innermost;0.51;0.06;0.03;0.06;0.08;0.17999543249607;6;
92;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:53-398;Outermost;0.32;0.03;0.02;0.03;0.04;0.091530412435532;6;
97;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:51-397;Outermost;0.29;0.03;0.01;0.03;0.05;0.15320996940136;6;
119;bt-mz.A.x;add_._omp_fn.0;38;add.f90:29-29;Innermost;0.28;0.03;0.01;0.03;0.05;0.14913037419319;6;
114;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:313-313;Innermost;0.2;0.02;0.01;0.02;0.05;0.1503863632679;6;
48;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:402-404;Innermost;0.19;0.02;0.01;0.02;0.04;0.094255201518536;6;
71;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:62-365;Outermost;0.13;0.01;0.01;0.01;0.03;0.069371171295643;6;
95;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:341-363;Innermost;0.11;0.01;0.01;0.01;0.03;0.077525496482849;5;
67;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:62-169;Outermost;0.09;0.01;0.01;0.01;0.02;0.061481446027756;5;
54;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:365-369;Innermost;0.08;0.01;0.01;0.01;0.03;0.081703722476959;5;
52;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:236-404;InBetween;0.08;0.01;0.01;0.01;0.02;0.033361975103617;5;
100;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:336-359;Innermost;0.08;0.01;0.01;0.01;0.02;0.066645331680775;5;
110;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:350-374;Innermost;0.08;0.01;0.01;0.01;0.02;0.038510374724865;6;
60;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:182-277;InBetween;0.06;0.01;0.01;0.01;0.01;0.025840034708381;5;
51;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:347-351;Innermost;0.06;0.01;0.01;0.01;0.02;0.038486771285534;4;
61;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:245-249;Innermost;0.05;0.01;0.01;0.01;0.01;0.027195001021028;4;
63;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:263-267;Innermost;0.04;0;0.01;0.01;0.01;0.027220671996474;3;
53;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:356-360;Innermost;0.04;0;0.01;0.01;0.01;1.9883300410584e-05;5;
105;bt-mz.A.x;copy_x_face_._omp_fn.1;28;exch_qbc.f90:257-261;Single;0.04;0;0.01;0.01;0.02;0.033354088664055;2;
104;bt-mz.A.x;copy_x_face_._omp_fn.0;27;exch_qbc.f90:246-250;Single;0.04;0;0.01;0.01;0.02;0.054479841142893;3;
103;bt-mz.A.x;copy_y_face_._omp_fn.1;26;exch_qbc.f90:218-222;Single;0.04;0;0.01;0.01;0.01;0.02358490601182;4;
74;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:37-402;Outermost;0.03;0;0.01;0.01;0.01;0.027239926159382;3;
55;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:374-378;Innermost;0.03;0;0.01;0.01;0.02;0.06670818477869;2;
49;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:162-404;Outermost;0.03;0;0.01;0.01;0.01;0;2;
62;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:254-258;Innermost;0.02;0;0.01;0.01;0.01;0.033385530114174;2;
38;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:170-201;Innermost;0.02;0;0.01;0.01;0.01;0.033354092389345;2;
45;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:48-66;Innermost;0.02;0;0.01;0.01;0.01;0;2;
118;bt-mz.A.x;add_._omp_fn.0;38;add.f90:24-29;Outermost;0.02;0;0.01;0.01;0.01;0;2;
102;bt-mz.A.x;copy_y_face_._omp_fn.0;25;exch_qbc.f90:207-211;Single;0.02;0;0.01;0.01;0.01;1.5726041965536e-05;2;
66;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:182-244;Innermost;0.01;0;0.01;0.01;0.01;0;1;
42;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:118-218;InBetween;0.01;0;0.01;0.01;0.01;0;1;
25;bt-mz.A.x;initialize_._omp_fn.0;9;initialize.f90:37-37;Innermost;0.01;0;0.01;0.01;0.01;0;1;
24;bt-mz.A.x;initialize_._omp_fn.0;9;initialize.f90:32-118;Outermost;0.01;0;0.01;0.01;0.01;0;1;
59;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:236-240;Innermost;0.01;0;0.01;0.01;0.01;0;1;
23;bt-mz.A.x;initialize_._omp_fn.0;9;initialize.f90:56-84;Innermost;0.01;0;0.01;0.01;0.01;0;1;
33;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:249-267;Innermost;0.01;0;0.01;0.01;0.01;0;1;
32;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:270-301;Innermost;0.01;0;0.01;0.01;0.01;0;1;
27;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:347-347;Innermost;0.01;0;0.01;0.01;0.01;0;1;
