block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1566;bt-mz.A.x;solve_subs.f90:206-481;12.12;1.29;0.86;1.29;2.73;5.9579386711121;10;
1564;bt-mz.A.x;solve_subs.f90:56-199;5.93;0.63;0.42;0.63;1.23;2.3673784732819;10;
1244;bt-mz.A.x;x_solve.f90:145-308;3.6;0.38;0.2;0.38;0.88;2.0204691886902;10;
1302;bt-mz.A.x;y_solve.f90:144-307;3.59;0.38;0.2;0.38;0.89;2.0313413143158;10;
1586;bt-mz.A.x;z_solve.f90:145-308;2.94;0.31;0.21;0.31;0.62;1.1714159250259;10;
1562;bt-mz.A.x;solve_subs.f90:27-51;1.89;0.2;0.13;0.2;0.46;0.93121498823166;10;
1581;bt-mz.A.x;z_solve.f90:54-136;1.69;0.18;0.09;0.18;0.4;0.88742089271545;10;
1296;bt-mz.A.x;y_solve.f90:54-136;1.66;0.18;0.09;0.18;0.41;0.93362128734589;10;
1240;bt-mz.A.x;x_solve.f90:56-138;1.54;0.16;0.08;0.16;0.42;1.0232539176941;10;
768;bt-mz.A.x;rhs.f90:295-340;0.95;0.1;0.05;0.1;0.2;0.39718553423882;10;
737;bt-mz.A.x;rhs.f90:185-229;0.88;0.09;0.03;0.09;0.22;0.56110769510269;10;
717;bt-mz.A.x;rhs.f90:80-129;0.77;0.08;0.04;0.08;0.19;0.42070904374123;10;
1326;bt-mz.A.x;y_solve.f90:393-397;0.68;0.07;0.03;0.07;0.18;0.42154017090797;10;
1304;bt-mz.A.x;y_solve.f90:247-247;0.64;0.07;0.03;0.07;0.17;0.36885049939156;10;
1246;bt-mz.A.x;x_solve.f90:248-248;0.61;0.06;0.04;0.07;0.14;0.27753603458405;10;
1267;bt-mz.A.x;x_solve.f90:394-398;0.58;0.06;0.02;0.06;0.13;0.3254566192627;10;
1588;bt-mz.A.x;z_solve.f90:248-248;0.57;0.06;0.03;0.06;0.14;0.29778152704239;10;
677;bt-mz.A.x;rhs.f90:37-47;0.53;0.06;0.02;0.06;0.13;0.31351241469383;10;
458;bt-mz.A.x;initialize.f90:214-248;0.5;0.05;0.03;0.05;0.09;0.20250961184502;10;
720;bt-mz.A.x;rhs.f90:149-154;0.38;0.04;0.01;0.04;0.1;0.29683327674866;10;
749;bt-mz.A.x;rhs.f90:272-277;0.35;0.04;0.03;0.04;0.08;0.18382641673088;9;
848;bt-mz.A.x;rhs.f90:64-64;0.32;0.03;0.01;0.03;0.09;0.24939922988415;10;
780;bt-mz.A.x;rhs.f90:383-388;0.31;0.03;0.01;0.03;0.08;0.22628033161163;10;
1567;bt-mz.A.x;solve_subs.f90:508-639;0.26;0.03;0.01;0.03;0.08;0.19211179018021;10;
1636;bt-mz.A.x;z_solve.f90:418-420;0.25;0.03;0.02;0.03;0.06;0.13334405422211;10;
1593;bt-mz.A.x;z_solve.f90:313-313;0.2;0.02;0.01;0.02;0.05;0.12051746994257;10;
1681;bt-mz.A.x;add.f90:29-29;0.14;0.02;0.01;0.02;0.05;0.15722438693047;9;
1585;bt-mz.A.x;z_solve.f90:147-248;0.13;0.01;0.01;0.01;0.02;0.044031571596861;10;
796;bt-mz.A.x;rhs.f90:402-404;0.12;0.01;0.01;0.02;0.04;0.10069597512484;8;
1301;bt-mz.A.x;y_solve.f90:146-247;0.1;0.01;0.01;0.01;0.03;0.076487854123116;10;
1243;bt-mz.A.x;x_solve.f90:147-248;0.1;0.01;0.01;0.01;0.03;0.085045143961906;7;
460;bt-mz.A.x;exact_solution.f90:24-28;0.08;0.01;0.01;0.01;0.02;0.037510547786951;9;
1637;bt-mz.A.x;z_solve.f90:414-420;0.08;0.01;0.01;0.02;0.03;0.080213971436024;5;
1633;bt-mz.A.x;z_solve.f90:420-420;0.06;0.01;0.01;0.01;0.02;0.030348192900419;6;
814;bt-mz.A.x;rhs.f90:347-351;0.04;0;0.01;0.01;0.01;0.024728767573833;6;
1313;bt-mz.A.x;y_solve.f90:344-344;0.03;0;0.01;0.01;0.01;0.027690684422851;4;
1258;bt-mz.A.x;x_solve.f90:347-347;0.03;0;0.01;0.01;0.01;0.021451676264405;5;
1635;bt-mz.A.x;z_solve.f90:420-420;0.03;0;0.01;0.01;0.01;3.2500494853593e-05;6;
1295;bt-mz.A.x;y_solve.f90:56-130;0.03;0;0.01;0.01;0.01;3.7532900023507e-05;6;
807;bt-mz.A.x;rhs.f90:374-378;0.03;0;0.01;0.01;0.02;0.047965466976166;4;
866;bt-mz.A.x;rhs.f90:365-369;0.03;0;0.01;0.01;0.02;0.048011478036642;4;
836;bt-mz.A.x;rhs.f90:356-360;0.03;0;0.01;0.01;0.01;0.021449100226164;5;
1589;bt-mz.A.x;z_solve.f90:313-313;0.02;0;0.01;0.01;0.02;0.055394593626261;3;
718;bt-mz.A.x;rhs.f90:162-169;0.02;0;0.01;0.01;0.01;4.1117105865851e-05;5;
736;bt-mz.A.x;rhs.f90:186-229;0.02;0;0.01;0.01;0.01;4.4009764678776e-05;4;
844;bt-mz.A.x;rhs.f90:64-64;0.02;0;0.01;0.01;0.01;0.027743775397539;3;
1399;bt-mz.A.x;exch_qbc.f90:250-250;0.02;0;0.01;0.01;0.02;0.067746743559837;2;
715;bt-mz.A.x;rhs.f90:80-149;0.01;0;0.01;0.01;0.01;3.9824164559832e-05;3;
1352;bt-mz.A.x;exch_qbc.f90:211-211;0.01;0;0.01;0.01;0.01;0.033832717686892;2;
1256;bt-mz.A.x;x_solve.f90:354-354;0.01;0;0.01;0.01;0.01;3.5124052374158e-05;3;
1315;bt-mz.A.x;y_solve.f90:359-359;0.01;0;0.01;0.01;0.01;2.2981315851212e-05;3;
849;bt-mz.A.x;rhs.f90:64-64;0.01;0;0.01;0.01;0.01;0.033865202218294;2;
446;bt-mz.A.x;initialize.f90:56-84;0.01;0;0.01;0.01;0.01;2.3003667593002e-05;3;
1239;bt-mz.A.x;x_solve.f90:58-138;0.01;0;0.01;0.01;0.01;4.7844794607954e-05;3;
841;bt-mz.A.x;rhs.f90:254-258;0.01;0;0.01;0.01;0.01;1.3261817002785e-05;3;
1627;bt-mz.A.x;z_solve.f90:350-350;0.01;0;0.01;0.01;0.01;1.6273952496704e-05;2;
1641;bt-mz.A.x;z_solve.f90:414-414;0.01;0;0.01;0.01;0.01;6.5000975155272e-05;2;
1294;bt-mz.A.x;y_solve.f90:143-143;0.01;0;0.01;0.01;0.01;1.6258147297776e-05;2;
1327;bt-mz.A.x;y_solve.f90:393-393;0.01;0;0.01;0.01;0.01;1.6258147297776e-05;2;
1619;bt-mz.A.x;z_solve.f90:374-374;0.01;0;0.01;0.01;0.01;1.6226536899921e-05;2;
1255;bt-mz.A.x;x_solve.f90:347-347;0.01;0;0.01;0.01;0.01;0;1;
1373;bt-mz.A.x;exch_qbc.f90:222-222;0.01;0;0.01;0.01;0.01;3.2500487577636e-05;2;
1257;bt-mz.A.x;x_solve.f90:363-363;0.01;0;0.01;0.01;0.01;1.6258147297776e-05;2;
853;bt-mz.A.x;rhs.f90:62-64;0.01;0;0.01;0.01;0.01;0;1;
1420;bt-mz.A.x;exch_qbc.f90:261-261;0.01;0;0.01;0.01;0.01;6.5000975155272e-05;2;
1357;bt-mz.A.x;exch_qbc.f90:211-211;0.01;0;0.01;0.01;0.01;1.6242342098849e-05;2;
1259;bt-mz.A.x;x_solve.f90:354-354;0.01;0;0.01;0.01;0.01;1.6258147297776e-05;2;
716;bt-mz.A.x;rhs.f90:81-129;0.01;0;0.01;0.01;0.01;1.6242342098849e-05;2;
1353;bt-mz.A.x;exch_qbc.f90:211-211;0;0;0.01;0.01;0.01;0;1;
1579;bt-mz.A.x;z_solve.f90:144-144;0;0;0.01;0.01;0.01;0;1;
1595;bt-mz.A.x;z_solve.f90:343-343;0;0;0.01;0.01;0.01;0;1;
1599;bt-mz.A.x;z_solve.f90:343-343;0;0;0.01;0.01;0.01;0;1;
1613;bt-mz.A.x;z_solve.f90:386-386;0;0;0.01;0.01;0.01;0;1;
1630;bt-mz.A.x;z_solve.f90:414-414;0;0;0.01;0.01;0.01;0;1;
1639;bt-mz.A.x;z_solve.f90:414-414;0;0;0.01;0.01;0.01;0;1;
1632;bt-mz.A.x;z_solve.f90:414-420;0;0;0.01;0.01;0.01;0;1;
1293;bt-mz.A.x;y_solve.f90:54-330;0;0;0.01;0.01;0.01;0;1;
1609;bt-mz.A.x;z_solve.f90:374-374;0;0;0.01;0.01;0.01;0;1;
1238;bt-mz.A.x;x_solve.f90:144-144;0;0;0.01;0.01;0.01;0;1;
1312;bt-mz.A.x;y_solve.f90:368-368;0;0;0.01;0.01;0.01;0;1;
1322;bt-mz.A.x;y_solve.f90:383-383;0;0;0.01;0.01;0.01;0;1;
767;bt-mz.A.x;rhs.f90:296-340;0;0;0.01;0.01;0.01;0;1;
1264;bt-mz.A.x;x_solve.f90:394-394;0;0;0.01;0.01;0.01;0;1;
1268;bt-mz.A.x;x_solve.f90:394-394;0;0;0.01;0.01;0.01;0;1;
772;bt-mz.A.x;rhs.f90:360-360;0;0;0.01;0.01;0.01;0;1;
795;bt-mz.A.x;rhs.f90:404-404;0;0;0.01;0.01;0.01;0;1;
418;bt-mz.A.x;initialize.f90:196-196;0;0;0.01;0.01;0.01;0;1;
1620;bt-mz.A.x;z_solve.f90:358-358;0;0;0.01;0.01;0.01;0;1;
676;bt-mz.A.x;rhs.f90:38-47;0;0;0.01;0.01;0.01;0;1;
1683;bt-mz.A.x;add.f90:29-29;0;0;0.01;0.01;0.01;0;1;
1394;bt-mz.A.x;exch_qbc.f90:250-250;0;0;0.01;0.01;0.01;0;1;
1314;bt-mz.A.x;y_solve.f90:351-351;0;0;0.01;0.01;0.01;0;1;
1320;bt-mz.A.x;y_solve.f90:336-336;0;0;0.01;0.01;0.01;0;1;
