Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.31;93.04;2.98;9901;0.08;0;0;0.03;3.47;12.19;0;0.08;
fob1;_ALL;_ALL;0.31;93.04;2.98;9901;0.08;0;0;0.03;3.47;12.19;0;0.08;
fob1;532602;_ALL;0.38;98.62;0.71;2395;0;0;0;0.04;0.17;12.19;0;0.08;
fob1;532602;532602;0.38;98.7;0.71;2393;0;0;0;0.04;0.08;12.19;0;0.08;
fob1;532602;532616;0;0;0;1;0;0;0;0;100;0.03;0;0;
fob1;532602;532617;0;0;0;1;0;0;0;0;100;0.03;0;0;
fob1;532604;_ALL;0.26;83.25;4.11;2723;0.11;0;0;0;12.23;12.18;0;0.04;
fob1;532604;532604;0.29;94.77;4.68;2392;0.13;0;0;0;0.08;12.18;0;0.04;
fob1;532604;532610;0;0;0;329;0;0;0;0;100;8.23;0;0;
fob1;532604;532611;0;0;0;2;0;0;0;0;100;0.05;0;0;
fob1;532606;_ALL;0.33;94.77;4.6;2391;0.08;0;0;0;0.08;12.18;0;0.13;
fob1;532606;532606;0.33;94.85;4.6;2389;0.08;0;0;0;0.04;12.18;0;0.08;
fob1;532606;532615;0;0;0;2;0;0;0;0;50;0.05;0;50;
fob1;532608;_ALL;0.29;96.86;2.34;2392;0.13;0;0;0.08;0.21;12.17;0;0.08;
fob1;532608;532608;0.29;97.03;2.35;2388;0.13;0;0;0.08;0.04;12.17;0;0.08;
fob1;532608;532612;0;0;0;4;0;0;0;0;100;0.1;0;0;
