Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0013;1.0058;1.0389;1.0326;
2;1.0021;1.0117;1.078;1.0648;
3;1.0029;1.0175;1.1155;1.0954;
4;1.0037;1.0221;1.1385;1.1015;
5;1.0042;1.0263;1.1611;1.1075;
6;1.0046;1.0304;1.1833;1.1127;
7;1.0049;1.0343;1.1979;1.1163;
8;1.0051;1.0355;1.2127;1.1196;
9;1.0052;1.0366;1.2279;1.1228;
10;1.0053;1.0377;1.239;1.1251;
11;1.0055;1.0386;1.248;1.1275;
12;1.0055;1.0392;1.2545;1.1296;
13;1.0056;1.0397;1.2607;1.1308;
14;1.0056;1.04;1.2666;1.1321;
15;1.0056;1.0402;1.2721;1.1331;
16;1.0056;1.0403;1.2775;1.134;
17;1.0056;1.0403;1.2818;1.1349;
18;1.0056;1.0404;1.2851;1.1357;
19;1.0056;1.0405;1.2881;1.1363;
20;1.0056;1.0405;1.2902;1.1367;
21;1.0056;1.0406;1.2918;1.1371;
22;1.0056;1.0406;1.2928;1.1375;
23;1.0056;1.0406;1.2939;1.1378;
24;1.0056;1.0406;1.2948;1.138;
25;1.0056;1.0406;1.2958;1.1381;
26;1.0056;1.0406;1.2966;1.1382;
27;1.0056;1.0406;1.2974;1.1384;
28;1.0056;1.0406;1.2981;1.1385;
29;1.0056;1.0406;1.2988;1.1385;
30;1.0056;1.0406;1.2995;1.1385;
31;1.0056;1.0406;1.3;1.1386;
32;1.0056;1.0406;1.3005;1.1386;
33;1.0056;1.0406;1.301;1.1386;
34;1.0056;1.0406;1.3014;1.1386;
35;1.0056;1.0406;1.3018;1.1386;
36;1.0056;1.0406;1.3022;1.1386;
37;1.0056;1.0406;1.3025;1.1386;
38;1.0056;1.0406;1.3028;1.1386;
39;1.0056;1.0406;1.303;1.1386;
40;1.0056;1.0406;1.3032;1.1386;
