block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2729;lu-mz.A.x;blts.f90:57-227;20.26;8.16;6.92;7.43;8.32;0.39882606267929;3;
2766;lu-mz.A.x;buts.f90:55-227;17.7;7.13;5.89;6.49;7.62;1.1183985471725;3;
2743;lu-mz.A.x;jacu.f90:43-348;12.41;5;4.33;4.55;4.94;0.12452876567841;3;
2714;lu-mz.A.x;jacld.f90:39-349;10.13;4.08;3.44;3.72;4.16;0.26527526974678;3;
2764;lu-mz.A.x;buts.f90:67-67;4.81;1.93;1.57;1.76;2;0.25075817108154;3;
2725;lu-mz.A.x;blts.f90:40-48;2.56;1.03;0.84;0.94;1.12;0.19111266732216;3;
2747;lu-mz.A.x;jacu.f90:38-348;2.36;0.95;0.75;0.87;0.96;0.18921360373497;3;
2759;lu-mz.A.x;buts.f90:40-47;2.13;0.86;0.69;0.78;0.88;0.12927018105984;3;
2494;lu-mz.A.x;rhs.f90:45-54;1.74;0.7;0.58;0.64;0.72;0.060466200113297;3;
2565;lu-mz.A.x;rhs.f90:220-223;1.62;0.65;0.52;0.59;0.72;0.16726586222649;3;
2558;lu-mz.A.x;rhs.f90:199-205;1.51;0.61;0.49;0.55;0.66;0.12710303068161;3;
2765;lu-mz.A.x;buts.f90:67-67;1.34;0.54;0.43;0.49;0.6;0.13801996409893;3;
2530;lu-mz.A.x;rhs.f90:117-141;1.19;0.48;0.4;0.44;0.49;0.045108232647181;3;
2640;lu-mz.A.x;rhs.f90:392-416;1.05;0.42;0.32;0.39;0.44;0.11452132463455;3;
2581;lu-mz.A.x;rhs.f90:252-281;0.94;0.38;0.29;0.35;0.38;0.096396327018738;3;
2533;lu-mz.A.x;rhs.f90:159-166;0.91;0.37;0.24;0.33;0.42;0.1795456558466;3;
2584;lu-mz.A.x;rhs.f90:300-307;0.87;0.35;0.3;0.32;0.36;0.026193415746093;3;
2606;lu-mz.A.x;rhs.f90:338-344;0.81;0.33;0.27;0.3;0.34;0.041708905249834;3;
