function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
44;lu-mz.A.x;buts;buts.f90:4-235;24.75;6.46;4.94;5.55;6.92;1.3601318597794;5;"100,0,0,0,0,0,0,0,0,0";
42;lu-mz.A.x;blts;blts.f90:4-236;22.1;5.77;4.63;4.96;6.09;0.76252901554108;5;"100,0,0,0,0,0,0,0,0,0";
37;lu-mz.A.x;rhs_._omp_fn.0;rhs.f90:40-460;18.99;4.95;3.98;4.26;5.27;0.73531138896942;5;"100,0,0,0,0,0,0,0,0,0";
43;lu-mz.A.x;jacu;jacu.f90:5-355;16.13;4.21;3.18;3.62;4.2;0.93006527423859;5;"100,0,0,0,0,0,0,0,0,0";
41;lu-mz.A.x;jacld;jacld.f90:5-356;10.14;2.64;2.04;2.27;2.88;0.60661208629608;5;"100,0,0,0,0,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;5.55;1.45;0.06;1.25;1.58;3.106591463089;5;"0,0,100,0,0,0,0,0,0,0";
28;lu-mz.A.x;ssor_._omp_fn.0;ssor.f90:37-150;1.41;0.37;0.27;0.32;0.39;0.086097292602062;5;"100,0,0,0,0,0,0,0,0,0";
23;lu-mz.A.x;exact;exact.f90:4-52;0.21;0.05;0.03;0.05;0.07;0.063445322215557;5;"100,0,0,0,0,0,0,0,0,0";
33;lu-mz.A.x;copy_x_face;exch_qbc.f90:134-169;0.16;0.04;0.02;0.04;0.05;0.042723722755909;5;"100,0,0,0,0,0,0,0,0,0";
32;lu-mz.A.x;copy_y_face;exch_qbc.f90:96-131;0.1;0.03;0.01;0.02;0.04;0.037233628332615;5;"100,0,0,0,0,0,0,0,0,0";
26;lu-mz.A.x;erhs_._omp_fn.0;erhs.f90:41-454;0.1;0.03;0.01;0.02;0.03;0.036638811230659;5;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.05;0.01;0;0.01;0.03;0.03127208724618;5;"0,0,25,0,75,0,0,0,0,0";
209;libgomp.so.1.0.0;omp_get_num_threads;;0.05;0.01;0;0.01;0.02;0.044447623193264;4;"0,0,100,0,0,0,0,0,0,0";
24;lu-mz.A.x;setiv_._omp_fn.0;setiv.f90:33-57;0.04;0.01;0;0.01;0.01;0.02415612898767;4;"100,0,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.04;0.01;0;0.01;0.01;0.019239170476794;4;"0,0,0,0,0,100,0,0,0,0";
111;libgomp.so.1.0.0;GOMP_barrier;;0.02;0.01;0;0.01;0.01;0.012360948137939;4;"0,0,100,0,0,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.02;0;0.01;0.01;0.01;0.0060430229641497;2;"0,0,100,0,0,0,0,0,0,0";
588;libc-2.31.so;__libc_malloc;;0.01;0;0;0;0;0.0023105519358069;3;"0,0,0,0,0,0,0,0,100,0";
210;libgomp.so.1.0.0;omp_get_thread_num;;0.01;0;0;0.01;0.01;0.010701577179134;2;"0,0,100,0,0,0,0,0,0,0";
29;lu-mz.A.x;ssor;ssor.f90:4-163;0.01;0;0;0;0;0.0024009635671973;3;"100,0,0,0,0,0,0,0,0,0";
226;libgomp.so.1.0.0;GOMP_single_copy_end;;0.01;0;0;0;0;0.00021470527281053;2;"0,0,100,0,0,0,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.01;0;0;0;0;0.00021470527281053;2;"0,0,100,0,0,0,0,0,0,0";
202;libgomp.so.1.0.0;GOMP_doacross_ull_wait;;0.01;0;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
108;libgomp.so.1.0.0;.text@start;;0.01;0;0;0;0;0.00021470527281053;2;"0,0,100,0,0,0,0,0,0,0";
45;lu-mz.A.x;sync_init;syncs.f90:4-29;0.01;0;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
11;lu-mz.A.x;MAIN__._omp_fn.0;lu.f90:137-404;0.01;0;0;0;0;0.00016919325571507;2;"100,0,0,0,0,0,0,0,0,0";
8;lu-mz.A.x;init_workarray_._omp_fn.0;lu.f90:433-456;0.01;0;0;0;0;0.0028523183427751;2;"100,0,0,0,0,0,0,0,0,0";
107;libgomp.so.1.0.0;.plt.got@start;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
47;lu-mz.A.x;sync_right;syncs.f90:74-108;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
46;lu-mz.A.x;sync_left;syncs.f90:54-69;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
38;lu-mz.A.x;rhs;rhs.f90:5-465;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
36;lu-mz.A.x;exch_qbc;exch_qbc.f90:1-93;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
34;lu-mz.A.x;exch_qbc_._omp_fn.1;exch_qbc.f90:59-86;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
21;lu-mz.A.x;setbv_._omp_fn.0;setbv.f90:27-70;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
0;lu-mz.A.x;Unknown function;;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
