loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
163;lu-mz.A.x;buts;44;buts.f90:55-227;Innermost;22.83;5.95;4.61;5.12;6.36;1.2632645368576;5;
156;lu-mz.A.x;blts;42;blts.f90:57-227;Innermost;19.37;5.05;4.06;4.34;5.33;0.65929716825485;5;
160;lu-mz.A.x;jacu;43;jacu.f90:43-348;Innermost;12.82;3.34;2.52;2.88;3.23;0.96948373317719;5;
152;lu-mz.A.x;jacld;41;jacld.f90:39-349;Innermost;10;2.61;2.02;2.24;2.83;0.56843239068985;5;
154;lu-mz.A.x;blts;42;blts.f90:40-48;Innermost;2.66;0.69;0.53;0.6;0.74;0.15263746678829;5;
158;lu-mz.A.x;jacu;43;jacu.f90:38-348;Innermost;2.51;0.66;0.5;0.56;0.73;0.18896807730198;5;
115;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:186-454;InBetween;2;0.52;0.39;0.45;0.6;0.20310328900814;5;
161;lu-mz.A.x;buts;44;buts.f90:40-47;Innermost;1.77;0.46;0.29;0.4;0.51;0.29277634620667;5;
134;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:220-223;Innermost;1.57;0.41;0.32;0.35;0.38;0.12995186448097;5;
145;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:45-54;Innermost;1.53;0.4;0.31;0.34;0.39;0.11211980879307;5;
132;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:199-205;Innermost;1.33;0.35;0.28;0.3;0.32;0.15472130477428;5;
118;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:392-416;Innermost;1.28;0.33;0.21;0.29;0.44;0.27258688211441;5;
140;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:117-141;Innermost;1.22;0.32;0.23;0.27;0.33;0.14994621276855;5;
143;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:159-166;Innermost;1.03;0.27;0.19;0.23;0.31;0.1164428666234;5;
130;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:252-281;Innermost;0.99;0.26;0.19;0.22;0.32;0.15423081815243;5;
129;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:300-307;Innermost;0.84;0.22;0.15;0.19;0.25;0.1481242030859;5;
120;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:338-344;Innermost;0.81;0.21;0.16;0.18;0.21;0.076232820749283;5;
141;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:91-114;Innermost;0.78;0.2;0.14;0.17;0.23;0.079833969473839;5;
117;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:434-441;Innermost;0.72;0.19;0.1;0.16;0.2;0.16438980400562;5;
127;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:198-381;InBetween;0.7;0.18;0.1;0.16;0.23;0.20305237174034;5;
159;lu-mz.A.x;jacu;43;jacu.f90:38-355;Outermost;0.7;0.18;0.11;0.16;0.21;0.19220519065857;5;
138;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:84-87;Innermost;0.69;0.18;0.13;0.15;0.19;0.11309857666492;5;
133;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:208-217;Innermost;0.66;0.17;0.13;0.15;0.19;0.060810651630163;5;
135;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:228-249;Innermost;0.62;0.16;0.09;0.14;0.22;0.17635577917099;5;
122;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:367-389;Innermost;0.58;0.15;0.12;0.13;0.16;0.10611466318369;5;
98;lu-mz.A.x;ssor_._omp_fn.0;28;ssor.f90:44-46;Innermost;0.55;0.14;0.1;0.12;0.16;0.072988100349903;5;
142;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:71-81;Innermost;0.53;0.14;0.1;0.12;0.14;0.067878618836403;5;
121;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:347-356;Innermost;0.51;0.13;0.08;0.12;0.16;0.16121728718281;5;
93;lu-mz.A.x;ssor_._omp_fn.0;28;ssor.f90:37-143;InBetween;0.46;0.12;0.06;0.1;0.15;0.10569946467876;5;
139;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:71-180;InBetween;0.34;0.09;0.04;0.08;0.1;0.10243171453476;5;
94;lu-mz.A.x;ssor_._omp_fn.0;28;ssor.f90:143-143;Innermost;0.31;0.08;0.05;0.07;0.09;0.084888890385628;5;
126;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:362-454;Innermost;0.19;0.05;0.03;0.04;0.05;0.029386505484581;5;
