Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.04;92.71;0;22842.33;7.19;0;0;0.03;0;20.01;0;0.03;
knl01;_ALL;_ALL;0.04;92.71;0;22842.33;7.19;0;0;0.03;0;20.01;0;0.03;
knl01;14028;_ALL;0.04;92.71;0;22842.33;7.19;0;0;0.03;0;20.01;0;0.03;
knl01;14028;14286;0.07;89.11;0;2966.03;10.79;0;0;0.03;0;14.83;0;0;
knl01;14028;14028;0.02;98.45;0;4001.1;1.45;0;0;0;0;20.01;0;0.07;
knl01;14028;14288;0;89.43;0;2962.02;10.5;0;0;0.07;0;14.81;0;0;
knl01;14028;14285;0.05;99.42;0;3999.11;0.45;0;0;0.05;0;20;0;0.03;
knl01;14028;14289;0.07;89.63;0;2980.03;10.3;0;0;0;0;14.9;0;0;
knl01;14028;14290;0;89.24;0;2965.02;10.62;0;0;0.03;0;14.83;0;0.1;
knl01;14028;14287;0.1;89.36;0;2969.03;10.54;0;0;0;0;14.85;0;0;
