block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2729;lu-mz.A.x;blts.f90:57-227;16.84;1.39;;;;;;
2766;lu-mz.A.x;buts.f90:55-227;13.5;1.11;;;;;;
2743;lu-mz.A.x;jacu.f90:43-348;10.94;0.9;;;;;;
2714;lu-mz.A.x;jacld.f90:39-349;8.15;0.67;;;;;;
2764;lu-mz.A.x;buts.f90:67-67;3.47;0.28;;;;;;
2747;lu-mz.A.x;jacu.f90:38-348;2.55;0.21;;;;;;
2725;lu-mz.A.x;blts.f90:40-48;2.55;0.21;;;;;;
2759;lu-mz.A.x;buts.f90:40-47;1.95;0.16;;;;;;
2494;lu-mz.A.x;rhs.f90:45-54;1.52;0.13;;;;;;
2565;lu-mz.A.x;rhs.f90:220-223;1.34;0.11;;;;;;
2558;lu-mz.A.x;rhs.f90:199-205;1.28;0.11;;;;;;
2765;lu-mz.A.x;buts.f90:67-67;0.97;0.08;;;;;;
2606;lu-mz.A.x;rhs.f90:338-344;0.97;0.08;;;;;;
2530;lu-mz.A.x;rhs.f90:117-141;0.97;0.08;;;;;;
2533;lu-mz.A.x;rhs.f90:159-166;0.91;0.07;;;;;;
2640;lu-mz.A.x;rhs.f90:392-416;0.79;0.06;;;;;;
2581;lu-mz.A.x;rhs.f90:252-281;0.79;0.06;;;;;;
2518;lu-mz.A.x;rhs.f90:84-87;0.79;0.06;;;;;;
2584;lu-mz.A.x;rhs.f90:300-307;0.67;0.05;;;;;;
2526;lu-mz.A.x;rhs.f90:91-114;0.61;0.05;;;;;;
2644;lu-mz.A.x;rhs.f90:434-441;0.61;0.05;;;;;;
2631;lu-mz.A.x;rhs.f90:367-389;0.55;0.04;;;;;;
2116;lu-mz.A.x;ssor.f90:44-46;0.49;0.04;;;;;;
2642;lu-mz.A.x;rhs.f90:337-454;0.43;0.03;;;;;;
2514;lu-mz.A.x;rhs.f90:71-81;0.43;0.03;;;;;;
2562;lu-mz.A.x;rhs.f90:208-217;0.43;0.03;;;;;;
2571;lu-mz.A.x;rhs.f90:228-249;0.43;0.03;;;;;;
2638;lu-mz.A.x;rhs.f90:426-434;0.36;0.03;;;;;;
2763;lu-mz.A.x;buts.f90:67-67;0.36;0.03;;;;;;
2767;lu-mz.A.x;buts.f90:67-67;0.36;0.03;;;;;;
2742;lu-mz.A.x;jacu.f90:292-292;0.36;0.03;;;;;;
2579;lu-mz.A.x;rhs.f90:252-300;0.3;0.02;;;;;;
2616;lu-mz.A.x;rhs.f90:362-362;0.3;0.02;;;;;;
2624;lu-mz.A.x;rhs.f90:362-454;0.3;0.02;;;;;;
2572;lu-mz.A.x;rhs.f90:227-249;0.24;0.02;;;;;;
2746;lu-mz.A.x;jacu.f90:292-348;0.24;0.02;;;;;;
2191;lu-mz.A.x;ssor.f90:143-143;0.24;0.02;;;;;;
2639;lu-mz.A.x;rhs.f90:392-416;0.18;0.01;;;;;;
2192;lu-mz.A.x;ssor.f90:143-143;0.18;0.01;;;;;;
2641;lu-mz.A.x;rhs.f90:416-416;0.18;0.01;;;;;;
1888;lu-mz.A.x;exact.f90:4-52;0.12;0.01;;;;;;
2582;lu-mz.A.x;rhs.f90:198-320;0.12;0.01;;;;;;
2625;lu-mz.A.x;rhs.f90:359-362;0.12;0.01;;;;;;
2610;lu-mz.A.x;rhs.f90:347-356;0.12;0.01;;;;;;
2353;lu-mz.A.x;exch_qbc.f90:118-120;0.12;0.01;;;;;;
2705;lu-mz.A.x;jacld.f90:5-5;0.06;0;;;;;;
2711;lu-mz.A.x;jacld.f90:5-349;0.06;0;;;;;;
2594;lu-mz.A.x;rhs.f90:338-454;0.06;0;;;;;;
2632;lu-mz.A.x;rhs.f90:366-389;0.06;0;;;;;;
2598;lu-mz.A.x;rhs.f90:338-338;0.06;0;;;;;;
2605;lu-mz.A.x;rhs.f90:338-338;0.06;0;;;;;;
2528;lu-mz.A.x;rhs.f90:117-159;0.06;0;;;;;;
2531;lu-mz.A.x;rhs.f90:176-180;0.06;0;;;;;;
2557;lu-mz.A.x;rhs.f90:199-199;0.06;0;;;;;;
2520;lu-mz.A.x;rhs.f90:91-114;0.06;0;;;;;;
2522;lu-mz.A.x;rhs.f90:117-117;0.06;0;;;;;;
2567;lu-mz.A.x;rhs.f90:241-241;0.06;0;;;;;;
2196;lu-mz.A.x;ssor.f90:141-143;0.06;0;;;;;;
2197;lu-mz.A.x;ssor.f90:141-143;0.06;0;;;;;;
2420;lu-mz.A.x;exch_qbc.f90:158-158;0.06;0;;;;;;
2122;lu-mz.A.x;ssor.f90:44-44;0.06;0;;;;;;
2199;lu-mz.A.x;ssor.f90:141-143;0.06;0;;;;;;
2200;lu-mz.A.x;ssor.f90:141-143;0.06;0;;;;;;
2490;lu-mz.A.x;rhs.f90:42-42;0.06;0;;;;;;
2201;lu-mz.A.x;ssor.f90:141-143;0.06;0;;;;;;
2745;lu-mz.A.x;jacu.f90:38-38;0.06;0;;;;;;
2496;lu-mz.A.x;rhs.f90:45-45;0.06;0;;;;;;
2507;lu-mz.A.x;rhs.f90:68-68;0.06;0;;;;;;
2728;lu-mz.A.x;blts.f90:70-70;0.06;0;;;;;;
1868;lu-mz.A.x;setbv.f90:49-54;0.06;0;;;;;;
2715;lu-mz.A.x;jacld.f90:39-39;0.06;0;;;;;;
2004;lu-mz.A.x;erhs.f90:235-258;0.06;0;;;;;;
2076;lu-mz.A.x;erhs.f90:59-74;0.06;0;;;;;;
