run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;1;1;104.40641021729;1;1;1;
1;R2;1;2;55.419746398926;2;1.8839207502997;0.94196037514987;
2;R3;1;3;41.426555633545;3;2.520277358824;0.84009245294133;
3;R4;1;4;27.924238204956;4;3.7389170458643;0.93472926146607;
4;R5;1;5;27.020254135132;5;3.8640054862229;0.77280109724457;
5;R6;1;6;20.977228164673;6;4.9771308867734;0.82952181446223;
6;R7;1;7;20.634969711304;7;5.0596832308454;0.72281189012076;
7;R8;1;8;14.121549606323;8;7.3934102933388;0.92417628666735;
8;R9;1;9;14.136480331421;9;7.3856014912865;0.82062238792073;
9;R10;1;10;14.124835014343;10;7.3916906010771;0.73916906010771;
10;R11;1;11;14.046405792236;11;7.4329626924912;0.67572388113557;
11;R12;1;12;14.409913063049;12;7.2454573293027;0.60378811077522;
12;R13;1;13;14.343848228455;13;7.2788284255664;0.55990987888972;
13;R14;1;14;14.157541275024;14;7.3746145738929;0.52675818384949;
14;R15;1;15;13.828831672668;15;7.5499082416077;0.50332721610718;
15;R16;1;16;8.0233974456787;16;13.012743158264;0.81329644739147;
