Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.06;84.88;0;25424.23;14.98;0;0;0.04;0;13.55;0;0.04;
knl01;_ALL;_ALL;0.06;84.88;0;25424.23;14.98;0;0;0.04;0;13.55;0;0.04;
knl01;15914;_ALL;0.06;84.88;0;25424.23;14.98;0;0;0.04;0;13.55;0;0.04;
knl01;15914;16176;0;80.91;0;1645.02;18.97;0;0;0.06;0;8.23;0;0.06;
knl01;15914;16175;0.12;80.8;0;1672.01;18.84;0;0;0.18;0;8.36;0;0.06;
knl01;15914;16178;0.06;80.76;0;1658.01;19.12;0;0;0.06;0;8.29;0;0;
knl01;15914;16179;0.06;81.3;0;1685.01;18.58;0;0;0.06;0;8.43;0;0;
knl01;15914;16171;0.04;98.89;0;2710.04;0.92;0;0;0.07;0;13.55;0;0.07;
knl01;15914;16174;0;81.49;0;1691.01;18.45;0;0;0.06;0;8.46;0;0;
knl01;15914;16173;0.18;81.1;0;1677.01;18.66;0;0;0.06;0;8.39;0;0;
knl01;15914;16183;0;81.1;0;1656.01;18.9;0;0;0;0;8.28;0;0;
knl01;15914;16182;0.06;81.14;0;1681.02;18.74;0;0;0;0;8.41;0;0.06;
knl01;15914;16177;0.06;80.72;0;1644.01;19.16;0;0;0;0;8.22;0;0.06;
knl01;15914;15914;0.04;99.04;0;2704.03;0.85;0;0;0;0;13.52;0;0.07;
knl01;15914;16172;0.06;80.93;0;1668.01;18.94;0;0;0;0;8.34;0;0.06;
knl01;15914;16181;0.12;81.8;0;1676.02;18.08;0;0;0;0;8.38;0;0;
knl01;15914;16180;0;80.81;0;1657.01;19.07;0;0;0.06;0;8.29;0;0.06;
