Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0233;1.1945;1.2657;1.1176;
2;1.0337;1.436;1.6093;1.1771;
3;1.0399;1.5339;1.8671;1.1958;
4;1.0445;1.5639;2.217;1.2145;
5;1.0477;1.5918;2.3443;1.2321;
6;1.0501;1.6194;2.4791;1.2501;
7;1.0524;1.6439;2.6099;1.2652;
8;1.0536;1.6615;2.7134;1.2791;
9;1.0549;1.6747;2.8163;1.2916;
10;1.056;1.6865;2.9073;1.3015;
11;1.057;1.6959;2.991;1.3112;
12;1.0577;1.7045;3.0767;1.3187;
13;1.0583;1.7128;3.1627;1.326;
14;1.0589;1.7204;3.2537;1.3329;
15;1.0593;1.7278;3.3451;1.3393;
16;1.0598;1.7348;3.4356;1.3457;
17;1.0602;1.7411;3.5279;1.3518;
18;1.0606;1.7473;3.6126;1.3573;
19;1.0609;1.7532;3.7003;1.3627;
20;1.0613;1.7587;3.7874;1.3679;
21;1.0616;1.7642;3.8782;1.3729;
22;1.0619;1.7692;3.9671;1.3775;
23;1.0621;1.7734;4.0586;1.3814;
24;1.0624;1.7764;4.15;1.385;
25;1.0626;1.7782;4.2268;1.3885;
26;1.0628;1.7792;4.2999;1.3919;
27;1.063;1.7801;4.3639;1.3949;
28;1.0631;1.7809;4.4225;1.3973;
29;1.0633;1.7814;4.4656;1.3997;
30;1.0634;1.7818;4.5078;1.402;
31;1.0634;1.7818;4.5436;1.4032;
32;1.0634;1.7818;4.5684;1.4043;
33;1.0634;1.7818;4.5816;1.4053;
34;1.0634;1.7818;4.594;1.4062;
35;1.0634;1.7818;4.6034;1.4069;
36;1.0634;1.7818;4.6124;1.4076;
37;1.0634;1.7818;4.6214;1.4082;
38;1.0634;1.7818;4.629;1.4088;
39;1.0634;1.7818;4.6366;1.4093;
40;1.0634;1.7818;4.6442;1.4095;
