block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3330;lu-mz.A.x;blts.f90:57-227;20.44;21.14;21.14;21.14;21.14;0;1;
3367;lu-mz.A.x;buts.f90:55-227;17.77;18.37;18.37;18.37;18.37;0;1;
3344;lu-mz.A.x;jacu.f90:44-349;12.9;13.35;13.35;13.35;13.35;0;1;
3314;lu-mz.A.x;jacld.f90:40-350;11.2;11.58;11.58;11.58;11.58;0;1;
3365;lu-mz.A.x;buts.f90:67-67;4.98;5.16;5.16;5.16;5.16;0;1;
3326;lu-mz.A.x;blts.f90:40-48;2.73;2.82;2.82;2.82;2.82;0;1;
3348;lu-mz.A.x;jacu.f90:39-349;2.54;2.63;2.63;2.63;2.63;0;1;
3360;lu-mz.A.x;buts.f90:40-47;2.14;2.21;2.21;2.21;2.21;0;1;
3366;lu-mz.A.x;buts.f90:67-67;1.73;1.79;1.79;1.79;1.79;0;1;
3066;lu-mz.A.x;rhs.f90:68-74;1.5;1.55;1.55;1.55;1.55;0;1;
3145;lu-mz.A.x;rhs.f90:221-227;1.49;1.54;1.54;1.54;1.54;0;1;
3112;lu-mz.A.x;rhs.f90:136-160;1.07;1.11;1.11;1.11;1.11;0;1;
3152;lu-mz.A.x;rhs.f90:242-245;1.04;1.07;1.07;1.07;1.07;0;1;
3228;lu-mz.A.x;rhs.f90:413-437;0.98;1.01;1.01;1.01;1.01;0;1;
3100;lu-mz.A.x;rhs.f90:103-106;0.91;0.94;0.94;0.94;0.94;0;1;
3168;lu-mz.A.x;rhs.f90:274-303;0.9;0.93;0.93;0.93;0.93;0;1;
3117;lu-mz.A.x;rhs.f90:180-187;0.89;0.92;0.92;0.92;0.92;0;1;
3173;lu-mz.A.x;rhs.f90:322-329;0.87;0.89;0.89;0.89;0.89;0;1;
3195;lu-mz.A.x;rhs.f90:359-365;0.86;0.88;0.88;0.88;0.88;0;1;
3096;lu-mz.A.x;rhs.f90:90-100;0.73;0.75;0.75;0.75;0.75;0;1;
3108;lu-mz.A.x;rhs.f90:110-133;0.73;0.75;0.75;0.75;0.75;0;1;
3220;lu-mz.A.x;rhs.f90:388-410;0.72;0.74;0.74;0.74;0.74;0;1;
3158;lu-mz.A.x;rhs.f90:250-271;0.71;0.73;0.73;0.73;0.73;0;1;
3226;lu-mz.A.x;rhs.f90:447-455;0.67;0.69;0.69;0.69;0.69;0;1;
2234;lu-mz.A.x;ssor.f90:46-48;0.66;0.68;0.68;0.68;0.68;0;1;
3149;lu-mz.A.x;rhs.f90:230-239;0.62;0.64;0.64;0.64;0.64;0;1;
3233;lu-mz.A.x;rhs.f90:455-462;0.62;0.64;0.64;0.64;0.64;0;1;
3050;lu-mz.A.x;rhs.f90:65-65;0.6;0.62;0.62;0.62;0.62;0;1;
