loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
191;lu-mz.A.x;sync_left;46;syncs.f90:75-77;Single;19.3;3.68;2.37;4.64;7.18;8.873646736145;9;
189;lu-mz.A.x;buts;44;buts.f90:55-227;Innermost;12.19;2.33;1.72;2.2;2.51;1.6324216127396;12;
182;lu-mz.A.x;blts;42;blts.f90:57-227;Innermost;10.17;1.94;1.52;1.83;2.25;1.4827272891998;12;
186;lu-mz.A.x;jacu;43;jacu.f90:44-349;Innermost;7.19;1.37;1.05;1.3;1.48;0.74230992794037;12;
178;lu-mz.A.x;jacld;41;jacld.f90:40-350;Innermost;5.74;1.1;0.84;1.03;1.21;0.74007827043533;12;
184;lu-mz.A.x;jacu;43;jacu.f90:39-349;Innermost;1.52;0.29;0.13;0.27;0.41;0.58912694454193;12;
180;lu-mz.A.x;blts;42;blts.f90:40-48;Innermost;1.38;0.26;0.17;0.25;0.3;0.28090927004814;12;
187;lu-mz.A.x;buts;44;buts.f90:40-47;Innermost;1.13;0.22;0.15;0.2;0.26;0.22940668463707;12;
139;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:209-475;InBetween;0.93;0.18;0.11;0.17;0.22;0.16320683062077;12;
159;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:242-245;Innermost;0.76;0.14;0.11;0.14;0.18;0.13697385787964;12;
170;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:68-74;Innermost;0.75;0.14;0.08;0.14;0.2;0.17304342985153;12;
185;lu-mz.A.x;jacu;43;jacu.f90:39-356;Outermost;0.68;0.13;0.05;0.12;0.18;0.20819288492203;12;
169;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:63-74;InBetween;0.67;0.13;0.06;0.12;0.15;0.14046154916286;12;
99;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:39-163;InBetween;0.64;0.12;0.09;0.12;0.17;0.13936446607113;12;
164;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:136-160;Innermost;0.61;0.12;0.06;0.11;0.16;0.18290367722511;12;
142;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:413-437;Innermost;0.55;0.1;0.08;0.1;0.12;0.082580149173737;12;
192;lu-mz.A.x;sync_right;47;syncs.f90:113-115;Single;0.5;0.1;0.03;0.12;0.31;0.53404825925827;9;
155;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:274-303;Innermost;0.49;0.09;0.04;0.09;0.12;0.12723554670811;12;
157;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:221-227;Innermost;0.48;0.09;0.04;0.09;0.14;0.1718809902668;12;
162;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:90-202;InBetween;0.48;0.09;0.03;0.09;0.14;0.1788255572319;12;
141;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:455-462;Innermost;0.43;0.08;0.04;0.08;0.14;0.1536328047514;12;
166;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:103-106;Innermost;0.42;0.08;0.04;0.08;0.12;0.11111204326153;12;
154;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:322-329;Innermost;0.41;0.08;0.04;0.07;0.13;0.15299926698208;12;
163;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:180-187;Innermost;0.38;0.07;0.04;0.07;0.12;0.14030392467976;12;
160;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:250-271;Innermost;0.38;0.07;0.04;0.07;0.09;0.098169557750225;12;
152;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:220-342;InBetween;0.37;0.07;0.04;0.07;0.11;0.10380731523037;12;
165;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:110-133;Innermost;0.36;0.07;0.03;0.07;0.09;0.1145186945796;12;
106;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:46-48;Innermost;0.35;0.07;0.04;0.06;0.09;0.084415160119534;12;
144;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:359-365;Innermost;0.35;0.07;0.04;0.06;0.09;0.080756045877934;12;
146;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:388-410;Innermost;0.33;0.06;0.02;0.06;0.08;0.085603915154934;12;
167;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:90-100;Innermost;0.31;0.06;0.02;0.06;0.08;0.10543650388718;12;
145;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:368-377;Innermost;0.28;0.05;0.03;0.05;0.08;0.094477720558643;12;
158;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:230-239;Innermost;0.22;0.04;0.02;0.04;0.06;0.056995056569576;12;
179;lu-mz.A.x;jacld;41;jacld.f90:40-350;Outermost;0.21;0.04;0.01;0.04;0.06;0.074864774942398;12;
107;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:46-48;InBetween;0.21;0.04;0.01;0.04;0.09;0.12392996996641;12;
101;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:115-144;Single;0.16;0.03;0.02;0.03;0.04;0.058615062385798;11;
190;lu-mz.A.x;buts;44;buts.f90:55-227;Outermost;0.12;0.02;0.01;0.02;0.04;0.059762876480818;12;
103;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:71-100;Single;0.11;0.02;0;0.02;0.04;0.071725428104401;12;
133;lu-mz.A.x;copy_x_face_._omp_fn.1;33;exch_qbc.f90:263-265;Innermost;0.09;0.02;0;0.02;0.04;0.06575258821249;8;
149;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:383-383;Innermost;0.08;0.02;0;0.02;0.04;0.049375034868717;11;
240;lu-mz.A.x;exchange_3;59;exchange_3.f90:87-98;Innermost;0.07;0.01;0.05;0.08;0.1;0.1839194893837;2;
151;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:383-383;Innermost;0.07;0.01;0;0.01;0.03;0.042322605848312;11;
236;lu-mz.A.x;exchange_3;59;exchange_3.f90:151-162;Innermost;0.07;0.01;0.06;0.07;0.08;0.062285751104355;2;
242;lu-mz.A.x;exchange_3;59;exchange_3.f90:56-67;Innermost;0.07;0.01;0.05;0.07;0.09;0.19808746874332;2;
150;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:380-383;Innermost;0.06;0.01;0;0.01;0.03;0.045788776129484;10;
238;lu-mz.A.x;exchange_3;59;exchange_3.f90:120-131;Innermost;0.06;0.01;0.05;0.06;0.07;0.081190317869186;2;
129;lu-mz.A.x;copy_y_face_._omp_fn.1;31;exch_qbc.f90:226-228;Innermost;0.05;0.01;0;0.01;0.02;0.02497661486268;10;
131;lu-mz.A.x;copy_x_face_._omp_fn.0;32;exch_qbc.f90:253-255;Innermost;0.05;0.01;0.01;0.01;0.02;0.035452082753181;7;
168;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:60-74;Outermost;0.04;0.01;0;0.01;0.01;0.019407890737057;10;
232;lu-mz.A.x;exchange_1;58;exchange_1.f90:80-85;Single;0.04;0.01;0.01;0.02;0.04;0.08861082047224;4;
235;lu-mz.A.x;exchange_1;58;exchange_1.f90:54-59;Single;0.04;0.01;0.01;0.02;0.03;0.053757902234793;4;
127;lu-mz.A.x;copy_y_face_._omp_fn.0;30;exch_qbc.f90:216-218;Innermost;0.03;0.01;0;0.01;0.01;0.014058191329241;7;
161;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:87-202;Outermost;0.03;0;0;0.01;0.01;0.015503648668528;7;
234;lu-mz.A.x;exchange_1;58;exchange_1.f90:118-123;Single;0.03;0;0;0.01;0.02;0.043448377400637;4;
183;lu-mz.A.x;blts;42;blts.f90:57-227;Outermost;0.03;0;0;0.01;0.01;0.015386370941997;8;
153;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:220-342;Outermost;0.03;0;0;0.01;0.02;0.033590417355299;6;
188;lu-mz.A.x;buts;44;buts.f90:40-47;Outermost;0.02;0;0;0.01;0.02;0.027560818940401;5;
233;lu-mz.A.x;exchange_1;58;exchange_1.f90:92-97;Single;0.02;0;0.01;0.01;0.02;0.027277018874884;4;
58;lu-mz.A.x;setiv_._omp_fn.0;22;setiv.f90:40-60;Innermost;0.02;0;0;0.01;0.01;0.023006526753306;6;
140;lu-mz.A.x;rhs_._omp_fn.0;37;rhs.f90:209-475;Outermost;0.02;0;0;0.01;0.01;0.011604289524257;5;
128;lu-mz.A.x;copy_y_face_._omp_fn.0;30;exch_qbc.f90:216-218;Outermost;0.02;0;0;0.01;0.01;0.023633727803826;6;
16;lu-mz.A.x;lu_mz;9;lu.f90:242-248;Innermost;0.01;0;0;0.01;0.01;0.029866073280573;3;
92;lu-mz.A.x;erhs_._omp_fn.0;24;erhs.f90:71-86;Innermost;0.01;0;0;0.01;0.02;0.030763482674956;3;
181;lu-mz.A.x;blts;42;blts.f90:40-48;Outermost;0.01;0;0;0.01;0.01;0.015235217288136;4;
97;lu-mz.A.x;ssor_._omp_fn.0;26;ssor.f90:39-163;Outermost;0.01;0;0;0.01;0.01;0.015817722305655;3;
130;lu-mz.A.x;copy_y_face_._omp_fn.1;31;exch_qbc.f90:226-228;Outermost;0.01;0;0;0;0;0.0014158139238134;4;
