Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.08;91.75;0.72;23867;7.29;0.03;0.01;0.04;0.05;10.03;0;0.03;
knl01;_ALL;_ALL;0.08;91.75;0.72;23867;7.29;0.03;0.01;0.04;0.05;10.03;0;0.03;
knl01;28152;_ALL;0.03;91.46;0.87;5967.94;7.41;0.05;0.03;0.03;0.05;10.01;0;0.07;
knl01;28152;29179;0;91.88;0;1982.98;8.12;0;0;0;0;9.91;0;0;
knl01;28152;29183;0;94.5;0;1981.98;5.5;0;0;0;0;9.91;0;0;
knl01;28152;28152;0.1;88.02;2.6;2002.98;8.59;0.15;0.1;0.1;0.15;10.01;0;0.2;
knl01;28151;_ALL;0.1;92.71;0.47;5962.98;6.62;0.02;0;0.05;0.03;9.99;0;0;
knl01;28151;28151;0.3;89.84;1.4;1997.99;8.16;0.05;0;0.15;0.1;9.99;0;0;
knl01;28151;29181;0;93.5;0;1984.99;6.5;0;0;0;0;9.92;0;0;
knl01;28151;29185;0;94.8;0;1979.99;5.2;0;0;0;0;9.9;0;0;
knl01;28154;_ALL;0.12;91.3;0.74;5964.06;7.68;0.05;0.02;0.03;0.05;10.03;0;0.02;
knl01;28154;28154;0.3;88.23;2.19;2005.02;8.78;0.15;0.05;0.1;0.15;10.03;0;0.05;
knl01;28154;29182;0.05;91.4;0;1977.02;8.55;0;0;0;0;9.89;0;0;
knl01;28154;29186;0;94.3;0;1982.02;5.7;0;0;0;0;9.91;0;0;
knl01;28153;_ALL;0.07;91.53;0.8;5972.02;7.43;0.02;0;0.03;0.07;10.03;0;0.05;
knl01;28153;28153;0.15;87.79;2.39;2006;9.17;0.05;0;0.1;0.2;10.03;0;0.15;
knl01;28153;29180;0;91.86;0;1979.01;8.14;0;0;0;0;9.9;0;0;
knl01;28153;29184;0.05;94.97;0;1987.01;4.98;0;0;0;0;9.94;0;0;
