block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3382;lu-mz.A.x;syncs.f90:75-77;36.39;1.51;;;;;;
3330;lu-mz.A.x;blts.f90:57-227;9.16;0.38;;;;;;
3367;lu-mz.A.x;buts.f90:55-227;6.27;0.26;;;;;;
3344;lu-mz.A.x;jacu.f90:44-349;5.66;0.23;;;;;;
3314;lu-mz.A.x;jacld.f90:40-350;4.7;0.19;;;;;;
3365;lu-mz.A.x;buts.f90:67-67;2.77;0.11;;;;;;
3348;lu-mz.A.x;jacu.f90:39-349;1.2;0.05;;;;;;
3326;lu-mz.A.x;blts.f90:40-48;1.2;0.05;;;;;;
3112;lu-mz.A.x;rhs.f90:136-160;0.96;0.04;;;;;;
3066;lu-mz.A.x;rhs.f90:68-74;0.72;0.03;;;;;;
3364;lu-mz.A.x;buts.f90:67-67;0.6;0.02;;;;;;
3231;lu-mz.A.x;rhs.f90:358-475;0.48;0.02;;;;;;
3228;lu-mz.A.x;rhs.f90:413-437;0.48;0.02;;;;;;
3366;lu-mz.A.x;buts.f90:67-67;0.48;0.02;;;;;;
3360;lu-mz.A.x;buts.f90:40-47;0.48;0.02;;;;;;
3233;lu-mz.A.x;rhs.f90:455-462;0.48;0.02;;;;;;
3108;lu-mz.A.x;rhs.f90:110-133;0.48;0.02;;;;;;
2390;lu-mz.A.x;ssor.f90:163-163;0.36;0.01;;;;;;
3173;lu-mz.A.x;rhs.f90:322-329;0.36;0.01;;;;;;
3212;lu-mz.A.x;rhs.f90:383-383;0.36;0.01;;;;;;
3168;lu-mz.A.x;rhs.f90:274-303;0.36;0.01;;;;;;
3096;lu-mz.A.x;rhs.f90:90-100;0.36;0.01;;;;;;
3145;lu-mz.A.x;rhs.f90:221-227;0.36;0.01;;;;;;
3220;lu-mz.A.x;rhs.f90:388-410;0.36;0.01;;;;;;
2389;lu-mz.A.x;ssor.f90:163-163;0.36;0.01;;;;;;
2234;lu-mz.A.x;ssor.f90:46-48;0.36;0.01;;;;;;
3347;lu-mz.A.x;jacu.f90:293-349;0.24;0.01;;;;;;
3368;lu-mz.A.x;buts.f90:67-67;0.24;0.01;;;;;;
3152;lu-mz.A.x;rhs.f90:242-245;0.24;0.01;;;;;;
3199;lu-mz.A.x;rhs.f90:368-377;0.24;0.01;;;;;;
3050;lu-mz.A.x;rhs.f90:65-65;0.24;0.01;;;;;;
3195;lu-mz.A.x;rhs.f90:359-365;0.24;0.01;;;;;;
3940;lu-mz.A.x;exchange_1.f90:147-147;0.12;0;;;;;;
3928;lu-mz.A.x;exchange_1.f90:5-33;0.12;0;;;;;;
3383;lu-mz.A.x;syncs.f90:81-88;0.12;0;;;;;;
3340;lu-mz.A.x;jacu.f90:44-349;0.12;0;;;;;;
3311;lu-mz.A.x;jacld.f90:5-284;0.12;0;;;;;;
3312;lu-mz.A.x;jacld.f90:45-350;0.12;0;;;;;;
3040;lu-mz.A.x;rhs.f90:60-74;0.12;0;;;;;;
3086;lu-mz.A.x;rhs.f90:87-198;0.12;0;;;;;;
2880;lu-mz.A.x;exch_qbc.f90:263-263;0.12;0;;;;;;
2179;lu-mz.A.x;erhs.f90:456-464;0.12;0;;;;;;
3166;lu-mz.A.x;rhs.f90:314-322;0.12;0;;;;;;
3169;lu-mz.A.x;rhs.f90:220-342;0.12;0;;;;;;
3092;lu-mz.A.x;rhs.f90:103-103;0.12;0;;;;;;
3105;lu-mz.A.x;rhs.f90:110-133;0.12;0;;;;;;
3115;lu-mz.A.x;rhs.f90:192-192;0.12;0;;;;;;
2395;lu-mz.A.x;ssor.f90:161-163;0.12;0;;;;;;
3331;lu-mz.A.x;blts.f90:57-57;0.12;0;;;;;;
3117;lu-mz.A.x;rhs.f90:180-187;0.12;0;;;;;;
3158;lu-mz.A.x;rhs.f90:250-271;0.12;0;;;;;;
3100;lu-mz.A.x;rhs.f90:103-106;0.12;0;;;;;;
2853;lu-mz.A.x;exch_qbc.f90:226-228;0.12;0;;;;;;
2836;lu-mz.A.x;exch_qbc.f90:216-218;0.12;0;;;;;;
