name;time_p;time_s;cpi_ratio;
/users/user2222/NPB3.4.1-MZ/NPB3.4-MZ-MPI/teste-fin-2/binaries/lu-mz.A.x;93.89;6.92;;
/usr/lib/x86_64-linux-gnu/libmpich.so.12.1.8;4.73;0.35;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.92;0.07;;
/usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0;0.31;0.02;;
kernel;0.09;0.01;;
/usr/lib/x86_64-linux-gnu/libpthread-2.31.so;0.03;0;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.01;0;;
/usr/lib/x86_64-linux-gnu/libmpichfort.so.12.1.8;0.01;0;;
/usr/lib/x86_64-linux-gnu/libgfortran.so.5.0.0;0;0;;
/usr/lib/x86_64-linux-gnu/libgcc_s.so.1;0;0;;
