function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
44;lu-mz.A.x;buts;buts.f90:4-235;21.84;2.81;2.71;2.81;2.9;0.42536461353302;10;"99.982167964996,0,0.017832035003652,0,0,0,0,0,0,0";
42;lu-mz.A.x;blts;blts.f90:4-236;19.03;2.45;2.34;2.44;2.65;0.69286185503006;10;"99.938630215052,0,0.061369784947946,0,0,0,0,0,0,0";
37;lu-mz.A.x;rhs_._omp_fn.0;rhs.f90:58-475;16.13;2.08;1.8;2.07;2.2;0.99620628356934;10;"100,0,0,0,0,0,0,0,0,0";
43;lu-mz.A.x;jacu;jacu.f90:5-356;12.84;1.65;1.55;1.65;1.76;0.49432960152626;10;"100,0,0,0,0,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;9.87;1.27;0.7;1.27;1.97;3.6786813735962;10;"0,0,100,0,0,0,0,0,0,0";
41;lu-mz.A.x;jacld;jacld.f90:5-357;9.57;1.23;1.04;1.23;1.29;0.55963140726089;10;"99.878063977731,0,0.12193602226872,0,0,0,0,0,0,0";
46;lu-mz.A.x;sync_left;syncs.f90:73-88;7.62;0.98;0.47;1.22;1.92;4.2980937957764;8;"100,0,0,0,0,0,0,0,0,0";
26;lu-mz.A.x;ssor_._omp_fn.0;ssor.f90:39-170;1.59;0.21;0.16;0.2;0.25;0.26172807812691;10;"100,0,0,0,0,0,0,0,0,0";
33;lu-mz.A.x;copy_x_face_._omp_fn.1;exch_qbc.f90:263-265;0.25;0.03;0.01;0.03;0.06;0.097486987709999;10;"100,0,0,0,0,0,0,0,0,0";
21;lu-mz.A.x;exact;exact.f90:4-52;0.18;0.02;0.01;0.02;0.04;0.058425098657608;10;"93.477118959322,0,6.5228810406782,0,0,0,0,0,0,0";
24;lu-mz.A.x;erhs_._omp_fn.0;erhs.f90:53-484;0.11;0.01;0.01;0.01;0.02;0.018709430471063;10;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;0.1;0.01;0.05;0.06;0.08;0.16414260864258;2;"0,100,0,0,0,0,0,0,0,0";
58;lu-mz.A.x;exchange_1;exchange_1.f90:5-147;0.09;0.01;0;0.01;0.04;0.089338205754757;8;"95.651032263466,0,4.3489677365338,0,0,0,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.09;0.01;0;0.02;0.06;0.15396235883236;6;"0,0,100,0,0,0,0,0,0,0";
47;lu-mz.A.x;sync_right;syncs.f90:111-125;0.09;0.01;0.01;0.01;0.03;0.05665010586381;8;"100,0,0,0,0,0,0,0,0,0";
210;libgomp.so.1.0.0;omp_get_thread_num;;0.07;0.01;0;0.01;0.02;0.042788971215487;10;"0,0,100,0,0,0,0,0,0,0";
32;lu-mz.A.x;copy_x_face_._omp_fn.0;exch_qbc.f90:253-255;0.06;0.01;0;0.01;0.02;0.038464330136776;8;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.06;0.01;0;0.01;0.02;0.038495555520058;8;"0,0,20.002013341061,0,79.997986658939,0,0,0,0,0";
31;lu-mz.A.x;copy_y_face_._omp_fn.1;exch_qbc.f90:226-228;0.05;0.01;0;0.01;0.02;0.048798426985741;7;"100,0,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.05;0.01;0.02;0.03;0.04;0.10954214632511;2;"0,8.3354303525043,0,0,91.664569647496,0,0,0,0,0";
209;libgomp.so.1.0.0;omp_get_num_threads;;0.05;0.01;0;0.01;0.01;0.019547436386347;9;"0,0,100,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.04;0;0.02;0.02;0.03;0.027257557958364;2;"0,0,0,0,0,0,0,0,0,100";
30;lu-mz.A.x;copy_y_face_._omp_fn.0;exch_qbc.f90:216-218;0.03;0;0;0.01;0.01;0.021313421428204;5;"100,0,0,0,0,0,0,0,0,0";
111;libgomp.so.1.0.0;GOMP_barrier;;0.03;0;0;0.01;0.02;0.037262946367264;4;"0,0,100,0,0,0,0,0,0,0";
0;lu-mz.A.x;Unknown function;;0.02;0;0;0.01;0.01;0.02239098213613;4;"83.333333333333,0,16.666666666667,0,0,0,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.02;0;0.02;0.02;0.02;0.00012798416719306;2;"0,0,100,0,0,0,0,0,0,0";
226;libgomp.so.1.0.0;GOMP_single_copy_end;;0.02;0;0.01;0.01;0.02;0.02755618467927;2;"0,0,100,0,0,0,0,0,0,0";
22;lu-mz.A.x;setiv_._omp_fn.0;setiv.f90:34-60;0.02;0;0;0;0.01;5.1661962061189e-05;4;"100,0,0,0,0,0,0,0,0,0";
619;libc-2.31.so;__libc_scratch_buffer_set_array_size;;0.01;0;0.02;0.02;0.02;0;1;"0,0,0,0,100,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;0.01;0;0;0.01;0.01;0.027385536581278;2;"0,100,0,0,0,0,0,0,0,0";
202;libgomp.so.1.0.0;GOMP_doacross_ull_wait;;0.01;0;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,100,0,0,0,0";
49;libc-2.31.so;.plt.sec@start;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
27;lu-mz.A.x;ssor;ssor.f90:4-182;0.01;0;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
1016;libc-2.31.so;openat;;0;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
349;libc-2.31.so;__isoc99_sscanf;;0;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,100,0,0";
79;libmpich.so.12.1.8;poll@plt;;0;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
36;lu-mz.A.x;exch_qbc;exch_qbc.f90:1-201;0;0;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
590;libc-2.31.so;__libc_realloc;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
589;libc-2.31.so;__libc_free;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
388;libmpich.so.12.1.8;MPI_Isend;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
80;libgcc_s.so.1;__popcountdi2;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
48;lu-mz.A.x;error_._omp_fn.0;error.f90:35-53;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";
