run_index;run_name;nb_processes;nb_threads;time;ideal_speedup;speedup;efficiency;
0;run_0;1;1;106.37408447266;1;1;1;
1;R2x1;2;2;57.283802032471;2;1.8569662050776;0.92848310253882;
2;R2x2;2;4;29.110233306885;4;3.6541817906866;0.91354544767164;
3;R2x3;2;6;20.547668457031;6;5.1769418362528;0.86282363937546;
4;R2x4;2;8;17.008863449097;8;6.2540383601178;0.78175479501473;
5;R2x5;2;10;13.687057495117;10;7.7718738677473;0.77718738677473;
6;R2x6;2;12;12.23170375824;12;8.6965877015292;0.7247156417941;
7;R2x7;2;14;11.701580047607;14;9.0905744386551;0.64932674561822;
8;R2x8;2;16;10.358234405518;16;10.269518945815;0.64184493411344;
9;R3x1;3;3;42.920501708984;3;2.4783979738613;0.82613265795376;
10;R3x2;3;6;26.520486831665;6;4.0110155272733;0.66850258787889;
11;R3x3;3;9;21.774267196655;9;4.8853118000222;0.54281242222469;
12;R3x4;3;12;21.711273193359;12;4.8994862496222;0.40829052080185;
13;R3x5;3;15;22.401306152344;15;4.7485661661531;0.31657107774354;
14;R4x1;4;4;29.345336914063;4;3.6249058848488;0.9062264712122;
15;R4x2;4;8;15.16574382782;8;7.0141026830168;0.8767628353771;
16;R4x3;4;12;10.886685371399;12;9.7710258764452;0.81425215637043;
17;R4x4;4;16;9.1123275756836;16;11.673645793476;0.72960286209226;
18;R5x1;5;5;29.20263671875;5;3.642619175013;0.72852383500259;
19;R5x2;5;10;19.744306564331;10;5.3875827001605;0.53875827001605;
20;R5x3;5;15;19.063026428223;15;5.5801257409563;0.37200838273042;
21;R6x1;6;6;22.108818054199;6;4.8113872126444;0.80189786877407;
22;R6x2;6;12;13.923259735107;12;7.6400272993855;0.63666894161546;
23;R8x1;8;8;15.62250995636;8;6.8090265117323;0.85112831396654;
24;R8x2;8;16;8.5534620285034;16;12.436377705095;0.77727360656844;
25;R9x1;9;90;5.4140710830688;90;19.647707398101;0.2183078599789;
26;R10x16;10;160;35.678405761719;160;2.9814696649588;0.018634185405993;
27;R12x1;12;12;12.457920074463;12;8.5386712899779;0.7115559408315;
28;R16x16;16;256;4.140899181366;256;25.688643894384;0.10034626521244;
29;R16x1;16;16;9.4002065658569;16;11.316143291896;0.70725895574348;
