Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.14;83.45;14.9;24934.02;0.43;0.48;0.04;0.09;0.12;20.83;0;0.36;
knl01;_ALL;_ALL;0.14;83.45;14.9;24934.02;0.43;0.48;0.04;0.09;0.12;20.83;0;0.36;
knl01;30422;_ALL;0.22;75.63;22.64;4151.93;0.55;0.36;0;0.05;0.1;20.76;0;0.46;
knl01;30422;30422;0.22;75.63;22.64;4151.93;0.55;0.36;0;0.05;0.1;20.76;0;0.46;
knl01;30418;_ALL;0.12;77.79;20.84;4145.93;0.39;0.39;0.05;0.1;0.1;20.73;0;0.24;
knl01;30418;30418;0.12;77.79;20.84;4145.93;0.39;0.39;0.05;0.1;0.1;20.73;0;0.24;
knl01;30421;_ALL;0.24;83.62;14.47;4153.08;0.48;0.48;0;0.17;0.12;20.77;0;0.41;
knl01;30421;30421;0.24;83.62;14.47;4153.08;0.48;0.48;0;0.17;0.12;20.77;0;0.41;
knl01;30423;_ALL;0.07;90.35;8.12;4163.97;0.41;0.48;0.05;0.1;0.1;20.82;0;0.34;
knl01;30423;30423;0.07;90.35;8.12;4163.97;0.41;0.48;0.05;0.1;0.1;20.82;0;0.34;
knl01;30419;_ALL;0;89.77;8.5;4166.02;0.38;0.67;0.07;0.12;0.17;20.83;0;0.31;
knl01;30419;30419;0;89.77;8.5;4166.02;0.38;0.67;0.07;0.12;0.17;20.83;0;0.31;
knl01;30420;_ALL;0.17;83.5;14.88;4153.09;0.34;0.48;0.05;0.02;0.12;20.77;0;0.43;
knl01;30420;30420;0.17;83.5;14.88;4153.09;0.34;0.48;0.05;0.02;0.12;20.77;0;0.43;
