Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0154;1.1288;1.1721;1.0737;
2;1.0232;1.279;1.3722;1.1121;
3;1.0277;1.3524;1.5189;1.1212;
4;1.0309;1.3694;1.6609;1.1303;
5;1.0328;1.3848;1.7055;1.139;
6;1.0345;1.3996;1.7502;1.1475;
7;1.036;1.4132;1.7891;1.1545;
8;1.0373;1.4222;1.8219;1.161;
9;1.0384;1.4311;1.8529;1.1676;
10;1.0394;1.4383;1.8788;1.1731;
11;1.0401;1.4452;1.9051;1.1784;
12;1.0407;1.4517;1.9302;1.1834;
13;1.0411;1.4559;1.9533;1.1879;
14;1.0414;1.46;1.977;1.1925;
15;1.0418;1.4638;1.9995;1.197;
16;1.0421;1.4674;2.0192;1.2013;
17;1.0424;1.4709;2.0391;1.2057;
18;1.0427;1.4735;2.0589;1.2093;
19;1.0429;1.4759;2.0787;1.2127;
20;1.0432;1.4779;2.0987;1.2158;
21;1.0434;1.4789;2.1189;1.2187;
22;1.0436;1.4797;2.1375;1.2216;
23;1.0438;1.4806;2.1565;1.2242;
24;1.044;1.4814;2.1754;1.2268;
25;1.0441;1.4821;2.1937;1.2293;
26;1.0443;1.4828;2.212;1.2316;
27;1.0444;1.4835;2.2288;1.2338;
28;1.0445;1.4842;2.2432;1.2358;
29;1.0446;1.4846;2.2572;1.2377;
30;1.0446;1.4849;2.2638;1.2396;
31;1.0447;1.4849;2.2697;1.2413;
32;1.0447;1.4849;2.2755;1.2427;
33;1.0447;1.4849;2.2805;1.2441;
34;1.0447;1.4849;2.2846;1.2452;
35;1.0447;1.4849;2.2887;1.2459;
36;1.0447;1.4849;2.2925;1.2467;
37;1.0447;1.4849;2.2957;1.2472;
38;1.0447;1.4849;2.298;1.2477;
39;1.0447;1.4849;2.2999;1.248;
40;1.0447;1.4849;2.3008;1.2483;
